"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","j","site_num","Periodo","Sitio","n_plants"
"GBP23021105M_ITS_P96","Species richness",65,65,1.12323749009568,65,67.2015050266727,1,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","P96",56382,FALSE,2,"2 11",11,2,11,8
"GBP23021105M_ITS_P96","Shannon diversity",4.42875486608727,4.43149347948748,0.0274416097803203,4.37770891264025,4.48527804633471,0.999382011185871,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","P96",56382,FALSE,2,"2 11",11,2,11,8
"GBP23021105M_ITS_P96","Simpson diversity",2.85620699878389,2.85630845307388,0.0109147191500011,2.83491599663851,2.87770090950925,0.999964480625375,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","P96",56382,FALSE,2,"2 11",11,2,11,8
"GBP23021401M_ITS_P96","Simpson diversity",2.93482418847503,2.93732229934716,0.0753792401461567,2.7895817034787,3.08506289521562,0.999149527829246,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","P96",2276,FALSE,2,"2 14",14,2,14,20
"GBP23021401M_ITS_P96","Species richness",12,12,0,12,12,1,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","P96",2276,FALSE,2,"2 14",14,2,14,20
"GBP23021401M_ITS_P96","Shannon diversity",4.74769446932094,4.75923591829962,0.104702008483095,4.55402375256374,4.96444808403549,0.997574936570323,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","P96",2276,FALSE,2,"2 14",14,2,14,20
"GBP23021402M_ITS_P96","Shannon diversity",7.5751336785981,7.58563685816341,0.0887998621048347,7.41159232660581,7.75968138972101,0.998615385924518,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","P96",7015,FALSE,2,"2 14",14,2,14,20
"GBP23021402M_ITS_P96","Simpson diversity",5.11896975467257,5.12202249027093,0.0785593702318045,4.96804895396844,5.27599602657341,0.999403998009741,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","P96",7015,FALSE,2,"2 14",14,2,14,20
"GBP23021402M_ITS_P96","Species richness",20,20,0.123085555131886,20,20.2412432550756,1,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","P96",7015,FALSE,2,"2 14",14,2,14,20
"GBP23021501M_ITS_P96","Species richness",11,11,0,11,11,1,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","P96",923,FALSE,2,"2 15",15,2,15,10
"GBP23021501M_ITS_P96","Shannon diversity",7.76211957623942,7.80458637168926,0.16215470488091,7.48676899019896,8.12240375317957,0.994558738486912,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","P96",923,FALSE,2,"2 15",15,2,15,10
"GBP23021501M_ITS_P96","Simpson diversity",6.93747607918502,6.9824414578513,0.138591622229483,6.71080686972253,7.25407604598007,0.99356022117225,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","P96",923,FALSE,2,"2 15",15,2,15,10
"GBP23021602M_ITS_P96","Species richness",1,1,0,1,1,1,23,"p02","s16","02M","#414487FF","#FCFFA4FF","sample","P96",14,FALSE,2,"2 16",16,2,16,11
"GBP23021602M_ITS_P96","Shannon diversity",1,1,0,1,1,1,23,"p02","s16","02M","#414487FF","#FCFFA4FF","sample","P96",14,FALSE,2,"2 16",16,2,16,11
"GBP23021602M_ITS_P96","Simpson diversity",1,1,0,1,1,1,23,"p02","s16","02M","#414487FF","#FCFFA4FF","sample","P96",14,FALSE,2,"2 16",16,2,16,11
