"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23021103M_16S_B96","Simpson diversity",2.41222746621501,2.41233347043384,0.00778971081605409,2.39706591778439,2.42760102308328,0.999956057394167,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","B96",38523,2,11,"2 11",2,11,8
"GBP23021104M_16S_B96","Species richness",74,100.888063772623,14.1622129141814,74,128.645491025806,0.733486175002607,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","B96",40563,2,11,"2 11",2,11,8
"GBP23021104M_16S_B96","Shannon diversity",3.71265783619699,3.71881917726891,0.0217297258621273,3.67622969718521,3.76140865735261,0.998343199607665,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","B96",40563,2,11,"2 11",2,11,8
"GBP23021104M_16S_B96","Simpson diversity",3.04896337580215,3.04915509664544,0.0112694035043294,3.02706747164971,3.07124272164118,0.999937123289167,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","B96",40563,2,11,"2 11",2,11,8
"GBP23021105M_16S_B96","Species richness",52,60.6535508410508,9.33732030203495,52,78.954362345154,0.857328207152646,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","B96",35554,2,11,"2 11",2,11,8
"GBP23021105M_16S_B96","Shannon diversity",3.16048922859681,3.16410106485307,0.0178127834874805,3.1291886507532,3.19901347895294,0.998858495293852,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","B96",35554,2,11,"2 11",2,11,8
"GBP23021105M_16S_B96","Simpson diversity",2.61756951836219,2.61771402009944,0.0114636811111302,2.59524561799138,2.64018242220751,0.999944798501231,23,"p02","s11","05M","#414487FF","#ED6925FF","sample","B96",35554,2,11,"2 11",2,11,8
"GBP23021401M_16S_B96","Species richness",24,64.4974849406943,26.8577485016011,24,117.137704709667,0.372107532907184,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","B96",18834,2,14,"2 14",2,14,20
"GBP23021401M_16S_B96","Shannon diversity",2.83404188560616,2.83848126105201,0.0172413711792401,2.80468879449661,2.87227372760741,0.998436003257529,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","B96",18834,2,14,"2 14",2,14,20
"GBP23021401M_16S_B96","Simpson diversity",2.56091465165036,2.56116292868058,0.0136674613634614,2.5343751966481,2.58795066071306,0.999903060821538,23,"p02","s14","01M","#414487FF","#FAC62DFF","sample","B96",18834,2,14,"2 14",2,14,20
"GBP23021402M_16S_B96","Species richness",30,30.999936147117,5.99669533750409,30,42.7532430348843,0.967743928814188,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","B96",17643,2,14,"2 14",2,14,20
"GBP23021402M_16S_B96","Shannon diversity",4.21722729113456,4.2215798306128,0.0270962244061723,4.16847220665968,4.27468745456591,0.998968978521578,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","B96",17643,2,14,"2 14",2,14,20
"GBP23021402M_16S_B96","Simpson diversity",3.52156339620926,3.52213052746179,0.0261766698153527,3.47082519738851,3.57343585753508,0.999838980626039,23,"p02","s14","02M","#414487FF","#FAC62DFF","sample","B96",17643,2,14,"2 14",2,14,20
"GBP23021501M_16S_B96","Species richness",46,64.2848465538163,15.1230653700434,46,93.9255100149463,0.715565214291846,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","B96",25816,2,15,"2 15",2,15,11
"GBP23021501M_16S_B96","Shannon diversity",2.90153888408908,2.90632158168928,0.0177338766587125,2.87156382213193,2.94107934124663,0.998354381142702,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","B96",25816,2,15,"2 15",2,15,11
"GBP23021501M_16S_B96","Simpson diversity",2.49202904110043,2.49220550479582,0.00922223103119498,2.47413026411758,2.51028074547407,0.999929193762291,23,"p02","s15","01M","#414487FF","#F2E661FF","sample","B96",25816,2,15,"2 15",2,15,11
"GBP23021601M_16S_B48","Species richness",38,53.1239368058484,9.11665597085779,38,70.9922541681718,0.715308433162215,23,"p02","s16","01M","#414487FF","#FCFFA4FF","sample","B48",16076,2,16,"2 16",2,16,12
