"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23020602M_ITS_F96","Species richness",1,1,0,1,1,1,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","F96",2,FALSE,2,6,"2 6",2,6,4
"GBP23020602M_ITS_F96","Shannon diversity",1,1,0,1,1,1,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","F96",2,FALSE,2,6,"2 6",2,6,4
"GBP23020602M_ITS_F96","Simpson diversity",1,1,0,1,1,1,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","F96",2,FALSE,2,6,"2 6",2,6,4
"GBP23020701M_ITS_F96","Species richness",137,137,1.67365609130424,137,140.280305661462,1,23,"p02","s07","01M","#414487FF","#932667FF","sample","F96",62705,FALSE,2,7,"2 7",2,7,8
"GBP23020701M_ITS_F96","Shannon diversity",53.0433750373741,53.1297581307321,0.330897611780166,52.4812107290727,53.7783055323915,0.99837411092395,23,"p02","s07","01M","#414487FF","#932667FF","sample","F96",62705,FALSE,2,7,"2 7",2,7,8
"GBP23020701M_ITS_F96","Simpson diversity",23.4914756882018,23.5040429201026,0.296136697703002,22.9236256581041,24.0844601821011,0.999465316160987,23,"p02","s07","01M","#414487FF","#932667FF","sample","F96",62705,FALSE,2,7,"2 7",2,7,8
"GBP23020801M_ITS_F96","Species richness",125,125,1.06738857808843,125,127.092043170563,1,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","F96",38162,FALSE,2,8,"2 8",2,8,5
"GBP23020801M_ITS_F96","Shannon diversity",38.6985201207173,38.7621070119809,0.305540476202571,38.1632586828046,39.3609553411572,0.998359560504698,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","F96",38162,FALSE,2,8,"2 8",2,8,5
"GBP23020801M_ITS_F96","Simpson diversity",18.226979530145,18.2352565673124,0.18375292925307,17.8751074439227,18.5954056907022,0.999546097027104,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","F96",38162,FALSE,2,8,"2 8",2,8,5
"GBP23020802M_ITS_F96","Species richness",4,4,0,4,4,1,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","F96",35,FALSE,2,8,"2 8",2,8,5
"GBP23020802M_ITS_F96","Shannon diversity",3.70332954631016,3.87000077628847,0.292166633160062,3.29736469781043,4.44263685476652,0.95693250735258,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","F96",35,FALSE,2,8,"2 8",2,8,5
"GBP23020802M_ITS_F96","Simpson diversity",3.41225626740947,3.67283950617284,0.478219090383594,2.73554731230149,4.61013170004419,0.929051286252662,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","F96",35,FALSE,2,8,"2 8",2,8,5
"GBP23020901M_ITS_F48","Species richness",2,2,0,2,2,1,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","F48",57,FALSE,2,9,"2 9",2,9,15
"GBP23020901M_ITS_F48","Shannon diversity",1.50020222846101,1.51370229362428,0.119938767486876,1.27862662899988,1.74877795824868,0.991081426499695,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","F48",57,FALSE,2,9,"2 9",2,9,15
"GBP23020901M_ITS_F48","Simpson diversity",1.31805273833671,1.32558139534884,0.111428985966546,1.10718459602059,1.54397819467709,0.994320486815414,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","F48",57,FALSE,2,9,"2 9",2,9,15
"GBP23020902M_ITS_F96","Species richness",2,2,0.14070529413629,2,2.27577730894124,1,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","F96",41,FALSE,2,9,"2 9",2,9,15
"GBP23020902M_ITS_F96","Shannon diversity",1.29922051775689,1.31604872314233,0.131926184246619,1.05747815340116,1.5746192928835,0.987213083307995,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","F96",41,FALSE,2,9,"2 9",2,9,15
"GBP23020902M_ITS_F96","Simpson diversity",1.15691672401927,1.1614730878187,0.0949359819248474,0.975401982409051,1.34754419322834,0.996077081899518,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","F96",41,FALSE,2,9,"2 9",2,9,15
"GBP23020903M_ITS_F96","Species richness",255,255,1.7240515791762,255,258.379079002675,1,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","F96",125397,FALSE,2,9,"2 9",2,9,15
"GBP23020903M_ITS_F96","Shannon diversity",42.1502540799488,42.1969068738297,0.214612187265762,41.7762747161454,42.6175390315139,0.998894402520535,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","F96",125397,FALSE,2,9,"2 9",2,9,15
"GBP23020903M_ITS_F96","Simpson diversity",17.5546080637161,17.5571228050338,0.108789087531558,17.343900111561,17.7703454985067,0.999856768028242,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","F96",125397,FALSE,2,9,"2 9",2,9,15
"GBP23021102M_ITS_F48","Species richness",34,34,1.11680896185743,34,36.1889053428521,1,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","F48",980,FALSE,2,11,"2 11",2,11,8
"GBP23021102M_ITS_F48","Shannon diversity",9.64192431064088,9.80935298464025,0.468665360683057,8.89078575689998,10.7279202123805,0.982931731148677,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","F48",980,FALSE,2,11,"2 11",2,11,8
"GBP23021102M_ITS_F48","Simpson diversity",3.96296174033605,3.97499212807212,0.19396690875919,3.59482397271154,4.3551602834327,0.996973481368401,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","F48",980,FALSE,2,11,"2 11",2,11,8
"GBP23021103M_ITS_F96","Species richness",27,27,0.456730126278064,27,27.8951745981594,1,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","F96",2489,FALSE,2,11,"2 11",2,11,8
"GBP23021103M_ITS_F96","Shannon diversity",6.71405058287641,6.74974159561062,0.230790273168187,6.29740097221881,7.20208221900243,0.994712240131176,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","F96",2489,FALSE,2,11,"2 11",2,11,8
"GBP23021103M_ITS_F96","Simpson diversity",3.38998575631868,3.39324532544873,0.121289904817655,3.15552148031784,3.63096917057963,0.999039394792471,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","F96",2489,FALSE,2,11,"2 11",2,11,8
"GBP23021104M_ITS_F96","Species richness",9,9,1.09944116822024,9,11.1548650928323,1,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","F96",55,FALSE,2,11,"2 11",2,11,8
"GBP23021104M_ITS_F96","Shannon diversity",6.59601861899254,7.11925840325047,0.71108950103242,5.72554859144237,8.51296821505857,0.926503611103787,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","F96",55,FALSE,2,11,"2 11",2,11,8
"GBP23021104M_ITS_F96","Simpson diversity",5.01658374792703,5.41970802919708,0.916575512314253,3.6232530359498,7.21616302244437,0.925618819482832,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","F96",55,FALSE,2,11,"2 11",2,11,8
